country,continent,year,life_exp,hdi_index,co2_consump,gdp,services,Suicide_mortality_rate(per 100000),income_Level,Country_Code,Unemployment_Rate
Algeria,Africa,2001,71.3,0.647,2.67,3160.0,53.3,4.5,Lower middle income,DZA,27.3
Algeria,Africa,2002,71.8,0.657,2.81,3300.0,53.5,4.4,Lower middle income,DZA,25.9
Algeria,Africa,2003,72.0,0.667,2.82,3490.0,53.6,4.1,Lower middle income,DZA,23.72
Algeria,Africa,2004,72.6,0.677,2.69,3590.0,54.3,4.0,Lower middle income,DZA,17.65
Algeria,Africa,2005,72.9,0.685,3.21,3750.0,54.7,3.9,Lower middle income,DZA,15.27
Algeria,Africa,2006,73.3,0.69,2.98,3760.0,55.4,3.7,Lower middle income,DZA,12.27
Algeria,Africa,2007,73.6,0.7,3.18,3830.0,56.0,3.5,Lower middle income,DZA,13.79
Algeria,Africa,2008,73.9,0.702,3.14,3860.0,56.8,3.4,Lower middle income,DZA,11.33
Algeria,Africa,2009,74.2,0.711,3.4,3850.0,57.4,3.2,Lower middle income,DZA,10.16
Algeria,Africa,2010,74.5,0.721,3.28,3920.0,57.9,3.0,Lower middle income,DZA,9.96
Algeria,Africa,2011,74.7,0.728,3.27,3960.0,58.4,3.0,Lower middle income,DZA,9.96
Algeria,Africa,2012,74.9,0.728,3.43,4010.0,58.5,2.9,Lower middle income,DZA,10.97
Algeria,Africa,2013,75.1,0.729,3.48,4040.0,58.5,2.9,Lower middle income,DZA,9.82
Algeria,Africa,2014,75.3,0.736,3.68,4110.0,58.6,2.8,Lower middle income,DZA,10.21
Algeria,Africa,2015,75.4,0.74,3.8,4180.0,58.8,2.7,Lower middle income,DZA,11.21
Algeria,Africa,2016,75.7,0.743,3.64,4220.0,59.0,2.6,Lower middle income,DZA,10.2
Algeria,Africa,2017,75.9,0.745,3.56,4190.0,59.2,2.5,Lower middle income,DZA,10.33
Algeria,Africa,2018,76.0,0.746,3.69,4160.0,59.6,2.5,Lower middle income,DZA,10.42
Angola,Africa,2000,52.8,0.4,0.581,2450.0,53.9,8.7,Lower middle income,AGO,4.03
Angola,Africa,2001,53.4,0.41,0.571,2470.0,54.1,8.6,Lower middle income,AGO,4.0
Angola,Africa,2002,54.5,0.426,0.72,2720.0,54.7,8.6,Lower middle income,AGO,3.96
Angola,Africa,2003,55.1,0.435,0.496,2710.0,54.6,8.8,Lower middle income,AGO,3.96
Angola,Africa,2004,55.5,0.446,0.998,2900.0,54.7,8.6,Lower middle income,AGO,3.92
Angola,Africa,2005,56.4,0.46,0.979,3220.0,53.1,8.1,Lower middle income,AGO,3.88
Angola,Africa,2006,57.0,0.473,1.1,3460.0,51.2,8.6,Lower middle income,AGO,3.86
Angola,Africa,2007,58.0,0.489,1.2,3810.0,49.5,7.4,Lower middle income,AGO,3.82
Angola,Africa,2008,58.8,0.501,1.18,4080.0,47.6,7.5,Lower middle income,AGO,3.79
Angola,Africa,2009,59.5,0.515,1.23,3960.0,45.7,6.7,Lower middle income,AGO,3.78
Angola,Africa,2010,60.2,0.517,1.24,3990.0,43.3,7.0,Lower middle income,AGO,9.43
Angola,Africa,2011,60.8,0.533,1.25,3980.0,40.8,6.6,Lower middle income,AGO,7.36
Angola,Africa,2012,61.4,0.544,1.35,4170.0,40.8,6.9,Lower middle income,AGO,7.35
Angola,Africa,2013,62.1,0.555,1.28,4220.0,41.0,6.9,Lower middle income,AGO,7.37
Angola,Africa,2014,63.0,0.565,1.64,4270.0,41.1,6.4,Lower middle income,AGO,7.37
Angola,Africa,2015,63.5,0.572,1.22,4170.0,41.3,6.5,Lower middle income,AGO,7.39
Angola,Africa,2016,63.9,0.578,1.18,3920.0,41.5,6.2,Lower middle income,AGO,7.41
Angola,Africa,2017,64.2,0.582,1.14,3790.0,41.8,6.0,Lower middle income,AGO,7.41
Angola,Africa,2018,64.6,0.582,1.12,3600.0,42.1,6.0,Lower middle income,AGO,7.42
Argentina,South America,2000,74.2,0.781,3.85,10700.0,76.6,9.1,Upper middle income,ARG,15.0
Argentina,South America,2001,74.3,0.786,3.58,10100.0,77.2,10.3,Upper middle income,ARG,17.32
Argentina,South America,2002,74.3,0.781,3.3,8940.0,78.8,10.2,Upper middle income,ARG,19.59
Argentina,South America,2003,74.4,0.786,3.54,9630.0,76.8,9.7,Upper middle income,ARG,15.36
Argentina,South America,2004,74.9,0.787,4.08,10400.0,75.8,8.7,Upper middle income,ARG,13.52
Argentina,South America,2005,75.3,0.788,4.15,11200.0,75.5,8.6,Upper middle income,ARG,11.51
Argentina,South America,2006,75.4,0.812,4.45,12000.0,75.3,8.6,Upper middle income,ARG,10.08
Argentina,South America,2007,75.3,0.817,4.39,12900.0,75.0,8.3,Upper middle income,ARG,8.47
Argentina,South America,2008,75.7,0.821,4.7,13300.0,74.8,8.7,Upper middle income,ARG,7.84
Argentina,South America,2009,75.8,0.821,4.42,12400.0,75.6,8.4,Upper middle income,ARG,8.65
Argentina,South America,2010,75.9,0.829,4.57,13600.0,75.4,8.6,Upper middle income,ARG,7.71
Argentina,South America,2011,76.0,0.835,4.61,14200.0,75.4,8.5,Upper middle income,ARG,7.18
Argentina,South America,2012,76.2,0.834,4.6,13900.0,75.7,9.1,Upper middle income,ARG,7.22
Argentina,South America,2013,76.3,0.835,4.56,14100.0,75.4,8.6,Upper middle income,ARG,7.1
Argentina,South America,2014,76.5,0.836,4.56,13600.0,75.3,9.3,Upper middle income,ARG,7.27
Argentina,South America,2015,76.5,0.84,4.64,13800.0,76.1,8.3,Upper middle income,ARG,7.52
Argentina,South America,2016,76.2,0.839,4.6,13400.0,77.0,8.3,Upper middle income,ARG,8.11
Argentina,South America,2017,76.3,0.843,4.55,13600.0,77.5,8.9,Upper middle income,ARG,8.35
Argentina,South America,2018,76.5,0.842,4.41,13100.0,78.0,9.2,Upper middle income,ARG,9.22
Armenia,Asia,2000,72.4,0.669,1.14,1290.0,41.5,3.4,Upper middle income,ARM,11.05
Armenia,Asia,2001,72.5,0.673,1.16,1420.0,42.0,3.1,Upper middle income,ARM,10.91
Armenia,Asia,2002,72.7,0.682,1.01,1620.0,42.5,3.5,Upper middle income,ARM,10.78
Armenia,Asia,2003,72.8,0.691,1.15,1860.0,43.0,2.6,Upper middle income,ARM,10.59
Armenia,Asia,2004,73.0,0.7,1.23,2060.0,43.3,4.0,Upper middle income,ARM,10.34
Armenia,Asia,2005,73.0,0.712,1.47,2360.0,43.6,4.2,Upper middle income,ARM,10.2
Armenia,Asia,2006,73.1,0.726,1.49,2700.0,44.0,5.9,Upper middle income,ARM,10.0
Armenia,Asia,2007,73.5,0.741,1.74,3090.0,44.5,5.8,Upper middle income,ARM,9.81
Armenia,Asia,2008,73.5,0.745,1.92,3340.0,44.0,4.8,Upper middle income,ARM,14.39
Armenia,Asia,2009,73.6,0.742,1.51,2880.0,43.5,4.8,Upper middle income,ARM,18.44
Armenia,Asia,2010,73.9,0.747,1.48,2960.0,44.0,6.8,Upper middle income,ARM,19.01
Armenia,Asia,2011,74.2,0.751,1.73,3100.0,44.4,6.8,Upper middle income,ARM,18.44
Armenia,Asia,2012,74.6,0.756,1.99,3310.0,45.1,7.4,Upper middle income,ARM,17.3
Armenia,Asia,2013,75.1,0.762,1.91,3410.0,46.7,6.4,Upper middle income,ARM,16.18
Armenia,Asia,2014,75.2,0.764,1.91,3510.0,48.4,6.3,Upper middle income,ARM,17.5
Armenia,Asia,2015,75.1,0.768,1.65,3610.0,48.8,6.2,Upper middle income,ARM,18.26
Armenia,Asia,2016,75.3,0.766,1.76,3600.0,50.6,5.7,Upper middle income,ARM,17.62
Armenia,Asia,2017,75.5,0.769,1.7,3860.0,51.9,3.0,Upper middle income,ARM,17.7
Armenia,Asia,2018,75.6,0.771,1.89,4050.0,51.1,2.1,Upper middle income,ARM,18.97
Australia,Oceania,2000,79.7,0.903,18.5,45700.0,73.5,12.7,High income,AUS,6.28
Australia,Oceania,2001,80.1,0.905,18.6,45900.0,74.5,12.2,High income,AUS,6.74
Australia,Oceania,2002,80.3,0.907,18.7,47200.0,74.7,11.3,High income,AUS,6.37
Australia,Oceania,2003,80.6,0.909,18.9,48000.0,75.2,10.5,High income,AUS,5.93
Australia,Oceania,2004,80.9,0.911,19.3,49400.0,75.0,10.3,High income,AUS,5.39
Australia,Oceania,2005,81.2,0.906,19.2,50300.0,75.3,11.2,High income,AUS,5.03
Australia,Oceania,2006,81.5,0.909,19.1,50900.0,75.3,10.6,High income,AUS,4.78
Australia,Oceania,2007,81.5,0.912,19.2,52600.0,75.5,10.9,High income,AUS,4.38
Australia,Oceania,2008,81.7,0.926,19.0,53400.0,75.1,11.6,High income,AUS,4.23
Australia,Oceania,2009,81.9,0.928,18.8,53300.0,75.6,11.2,High income,AUS,5.56
Australia,Oceania,2010,82.1,0.93,18.4,53600.0,75.8,11.7,High income,AUS,5.21
Australia,Oceania,2011,82.3,0.932,18.0,54200.0,76.3,11.2,High income,AUS,5.08
Australia,Oceania,2012,82.6,0.937,17.8,55300.0,76.5,11.7,High income,AUS,5.22
Australia,Oceania,2013,82.7,0.931,17.1,55800.0,76.9,11.5,High income,AUS,5.66
Australia,Oceania,2014,82.7,0.933,16.7,56300.0,76.9,12.7,High income,AUS,6.08
Australia,Oceania,2015,82.7,0.938,16.8,56800.0,78.0,13.2,High income,AUS,6.05
Australia,Oceania,2016,83.0,0.939,17.0,57400.0,78.0,12.2,High income,AUS,5.71
Australia,Oceania,2017,83.0,0.941,17.0,57800.0,78.0,13.1,High income,AUS,5.59
Australia,Oceania,2018,82.9,0.943,16.9,58600.0,77.5,12.4,High income,AUS,5.3
Austria,Europe,2000,78.5,0.847,8.22,38800.0,63.9,19.9,High income,AUT,4.69
Austria,Europe,2001,78.9,0.857,8.69,39200.0,64.8,18.6,High income,AUT,4.01
Austria,Europe,2002,79.0,0.847,8.87,39600.0,65.4,19.3,High income,AUT,4.85
Austria,Europe,2003,79.1,0.851,9.52,39800.0,65.6,18.2,High income,AUT,4.78
Austria,Europe,2004,79.5,0.858,9.49,40600.0,68.4,17.5,High income,AUT,5.83
Austria,Europe,2005,79.8,0.863,9.63,41300.0,67.2,17.2,High income,AUT,5.63
Austria,Europe,2006,80.1,0.87,9.31,42500.0,66.6,16.4,High income,AUT,5.24
Austria,Europe,2007,80.3,0.89,8.96,43900.0,67.1,16.0,High income,AUT,4.86
Austria,Europe,2008,80.5,0.893,8.85,44400.0,68.5,15.8,High income,AUT,4.13
Austria,Europe,2009,80.5,0.895,8.1,42600.0,69.7,16.0,High income,AUT,5.3
Austria,Europe,2010,80.8,0.904,8.6,43300.0,69.9,16.1,High income,AUT,4.82
Austria,Europe,2011,81.0,0.906,8.3,44400.0,69.0,16.5,High income,AUT,4.56
Austria,Europe,2012,81.2,0.908,7.95,44500.0,69.2,16.3,High income,AUT,4.87
Austria,Europe,2013,81.3,0.905,7.97,44300.0,69.5,16.2,High income,AUT,5.33
Austria,Europe,2014,81.5,0.913,7.49,44200.0,69.4,16.5,High income,AUT,5.62
Austria,Europe,2015,81.6,0.915,7.7,44200.0,69.7,16.0,High income,AUT,5.72
Austria,Europe,2016,81.8,0.917,7.7,44600.0,70.1,15.5,High income,AUT,6.01
Austria,Europe,2017,82.0,0.919,7.94,45300.0,71.1,15.4,High income,AUT,5.5
Austria,Europe,2018,82.1,0.921,7.75,46300.0,70.9,15.7,High income,AUT,4.85
Azerbaijan,Asia,2000,66.5,0.635,3.64,1500.0,48.0,3.1,Upper middle income,AZE,11.78
Azerbaijan,Asia,2001,67.1,0.643,3.52,1640.0,49.3,3.4,Upper middle income,AZE,10.91
Azerbaijan,Asia,2002,67.2,0.651,3.58,1780.0,48.5,3.6,Upper middle income,AZE,10.04
Azerbaijan,Asia,2003,67.1,0.659,3.67,1950.0,48.6,3.8,Upper middle income,AZE,9.17
Azerbaijan,Asia,2004,67.2,0.667,3.8,2110.0,48.7,4.3,Upper middle income,AZE,7.99
Azerbaijan,Asia,2005,67.3,0.674,4.02,2670.0,48.7,4.5,Upper middle income,AZE,7.26
Azerbaijan,Asia,2006,67.7,0.701,4.54,3560.0,48.1,4.7,Upper middle income,AZE,6.62
Azerbaijan,Asia,2007,68.2,0.706,3.49,4410.0,48.8,4.9,Upper middle income,AZE,6.33
Azerbaijan,Asia,2008,68.5,0.716,4.02,4780.0,48.3,4.7,Upper middle income,AZE,5.86
Azerbaijan,Asia,2009,68.8,0.727,3.57,5120.0,49.2,4.6,Upper middle income,AZE,5.74
Azerbaijan,Asia,2010,69.0,0.726,3.39,5300.0,48.1,4.6,Upper middle income,AZE,5.63
Azerbaijan,Asia,2011,69.2,0.727,3.61,5150.0,48.0,4.5,Upper middle income,AZE,5.42
Azerbaijan,Asia,2012,69.5,0.73,3.79,5190.0,48.1,4.4,Upper middle income,AZE,5.19
Azerbaijan,Asia,2013,69.7,0.735,3.74,5430.0,48.5,4.3,Upper middle income,AZE,4.97
Azerbaijan,Asia,2014,69.9,0.74,3.88,5510.0,48.9,4.2,Upper middle income,AZE,4.91
Azerbaijan,Asia,2015,70.2,0.744,3.86,5500.0,49.6,4.1,Upper middle income,AZE,4.96
Azerbaijan,Asia,2016,70.3,0.751,3.82,5270.0,49.3,4.0,Upper middle income,AZE,5.0
Azerbaijan,Asia,2017,70.4,0.754,3.73,5230.0,49.3,4.0,Upper middle income,AZE,5.0
Azerbaijan,Asia,2018,70.8,0.754,3.7,5260.0,49.0,4.0,Upper middle income,AZE,4.9
Bahrain,Asia,2000,71.7,0.795,28.3,23200.0,69.9,6.6,High income,BHR,1.08
Bahrain,Asia,2001,73.4,0.796,20.2,22700.0,69.9,8.8,High income,BHR,1.11
Bahrain,Asia,2002,72.7,0.795,21.6,22300.0,69.8,9.2,High income,BHR,1.11
Bahrain,Asia,2003,72.2,0.797,21.6,22300.0,69.5,10.2,High income,BHR,1.09
Bahrain,Asia,2004,72.3,0.796,21.6,22400.0,68.6,10.2,High income,BHR,1.09
Bahrain,Asia,2005,72.7,0.795,22.3,22300.0,67.6,10.3,High income,BHR,1.09
Bahrain,Asia,2006,73.0,0.797,20.3,22100.0,66.5,8.2,High income,BHR,1.1
Bahrain,Asia,2007,73.6,0.799,25.9,22100.0,65.4,9.6,High income,BHR,1.09
Bahrain,Asia,2008,74.0,0.8,26.7,21800.0,64.3,9.2,High income,BHR,1.11
Bahrain,Asia,2009,74.5,0.798,23.7,21100.0,64.3,8.6,High income,BHR,1.14
Bahrain,Asia,2010,75.0,0.8,23.5,21000.0,63.2,8.2,High income,BHR,1.13
Bahrain,Asia,2011,75.3,0.801,22.4,20800.0,63.7,7.9,High income,BHR,1.18
Bahrain,Asia,2012,75.7,0.808,21.0,21200.0,63.9,7.4,High income,BHR,1.2
Bahrain,Asia,2013,76.2,0.815,23.7,22100.0,63.8,7.1,High income,BHR,1.18
Bahrain,Asia,2014,76.6,0.82,23.3,22700.0,63.7,7.4,High income,BHR,1.19
Bahrain,Asia,2015,76.8,0.848,23.8,22600.0,63.8,7.4,High income,BHR,1.2
Bahrain,Asia,2016,76.8,0.853,22.1,22600.0,63.6,7.7,High income,BHR,1.19
Bahrain,Asia,2017,76.8,0.854,21.3,22400.0,63.5,8.1,High income,BHR,1.18
Bahrain,Asia,2018,77.0,0.852,19.8,21700.0,63.6,8.6,High income,BHR,1.2
Bangladesh,Asia,2000,65.5,0.478,0.208,654.0,24.5,6.0,Lower middle income,BGD,3.27
Bangladesh,Asia,2001,66.0,0.486,0.239,674.0,26.4,5.7,Lower middle income,BGD,3.62
Bangladesh,Asia,2002,66.3,0.492,0.242,687.0,28.4,5.3,Lower middle income,BGD,3.9
Bangladesh,Asia,2003,66.7,0.499,0.248,708.0,30.5,5.1,Lower middle income,BGD,4.32
Bangladesh,Asia,2004,67.1,0.506,0.263,733.0,32.7,4.9,Lower middle income,BGD,4.26
Bangladesh,Asia,2005,67.4,0.514,0.271,769.0,35.1,4.9,Lower middle income,BGD,4.25
Bangladesh,Asia,2006,67.8,0.521,0.296,809.0,37.4,5.0,Lower middle income,BGD,3.59
Bangladesh,Asia,2007,68.2,0.528,0.299,856.0,36.9,4.9,Lower middle income,BGD,4.13
Bangladesh,Asia,2008,69.0,0.531,0.314,897.0,36.3,4.7,Lower middle income,BGD,4.57
Bangladesh,Asia,2009,69.6,0.543,0.337,932.0,35.7,4.6,Lower middle income,BGD,5.0
Bangladesh,Asia,2010,70.0,0.557,0.366,973.0,35.1,4.4,Lower middle income,BGD,3.38
Bangladesh,Asia,2011,71.1,0.566,0.379,1020.0,35.4,4.0,Lower middle income,BGD,3.77
Bangladesh,Asia,2012,72.3,0.575,0.402,1080.0,35.7,3.7,Lower middle income,BGD,4.12
Bangladesh,Asia,2013,72.8,0.579,0.405,1130.0,36.0,3.5,Lower middle income,BGD,4.43
Bangladesh,Asia,2014,73.0,0.579,0.427,1180.0,36.3,3.5,Lower middle income,BGD,4.38
Bangladesh,Asia,2015,73.6,0.595,0.467,1250.0,36.6,3.4,Lower middle income,BGD,4.37
Bangladesh,Asia,2016,73.9,0.606,0.481,1320.0,36.9,3.4,Lower middle income,BGD,4.35
Bangladesh,Asia,2017,73.9,0.616,0.494,1400.0,39.0,3.5,Lower middle income,BGD,4.37
Bangladesh,Asia,2018,74.2,0.625,0.531,1500.0,39.8,3.6,Lower middle income,BGD,4.41
Belarus,Europe,2000,69.0,0.686,5.62,2620.0,52.3,41.8,Upper middle income,BLR,12.26
Belarus,Europe,2001,68.6,0.692,5.67,2750.0,53.1,43.3,Upper middle income,BLR,11.55
Belarus,Europe,2002,68.0,0.699,5.72,2910.0,53.7,44.3,Upper middle income,BLR,10.91
Belarus,Europe,2003,68.6,0.707,5.91,3140.0,54.3,42.9,Upper middle income,BLR,10.32
Belarus,Europe,2004,69.0,0.717,6.32,3520.0,54.8,42.1,Upper middle income,BLR,9.82
Belarus,Europe,2005,68.8,0.727,6.5,3880.0,55.4,43.5,Upper middle income,BLR,9.06
Belarus,Europe,2006,69.5,0.744,6.82,4290.0,55.7,40.9,Upper middle income,BLR,8.4
Belarus,Europe,2007,70.4,0.76,6.78,4680.0,56.1,36.8,Upper middle income,BLR,7.67
Belarus,Europe,2008,70.5,0.777,7.03,5180.0,56.4,36.7,Upper middle income,BLR,7.03
Belarus,Europe,2009,70.6,0.787,6.57,5200.0,56.7,36.5,Upper middle income,BLR,6.1
Belarus,Europe,2010,70.6,0.795,6.79,5620.0,57.1,35.9,Upper middle income,BLR,6.25
Belarus,Europe,2011,70.5,0.801,6.68,5930.0,57.4,36.2,Upper middle income,BLR,6.17
Belarus,Europe,2012,72.3,0.806,6.77,6040.0,57.9,29.9,Upper middle income,BLR,6.05
Belarus,Europe,2013,72.8,0.811,6.85,6100.0,58.2,27.9,Upper middle income,BLR,6.01
Belarus,Europe,2014,73.1,0.814,6.77,6200.0,58.6,26.3,Upper middle income,BLR,5.99
Belarus,Europe,2015,73.7,0.814,6.29,5950.0,59.2,24.3,Upper middle income,BLR,5.84
Belarus,Europe,2016,73.8,0.815,6.46,5790.0,58.7,24.2,Upper middle income,BLR,5.84
Belarus,Europe,2017,73.8,0.819,6.64,5940.0,58.5,23.3,Upper middle income,BLR,5.65
Belarus,Europe,2018,74.0,0.823,6.93,6140.0,58.1,22.8,Upper middle income,BLR,4.76
Belgium,Europe,2000,78.0,0.88,12.3,35700.0,72.3,22.0,High income,BEL,6.59
Belgium,Europe,2001,78.3,0.883,12.2,35900.0,73.1,22.3,High income,BEL,6.18
Belgium,Europe,2002,78.5,0.886,12.2,36400.0,72.4,20.9,High income,BEL,6.91
Belgium,Europe,2003,78.7,0.889,12.3,36600.0,73.4,21.5,High income,BEL,7.68
Belgium,Europe,2004,79.1,0.893,12.3,37700.0,72.8,20.2,High income,BEL,7.36
Belgium,Europe,2005,79.3,0.897,11.9,38400.0,73.3,20.7,High income,BEL,8.44
Belgium,Europe,2006,79.6,0.904,11.7,39100.0,73.4,20.2,High income,BEL,8.25
Belgium,Europe,2007,79.8,0.907,11.3,40300.0,73.7,18.7,High income,BEL,7.46
Belgium,Europe,2008,79.9,0.906,11.2,40100.0,73.8,20.3,High income,BEL,6.98
Belgium,Europe,2009,80.0,0.907,9.93,39000.0,75.0,20.6,High income,BEL,7.91
Belgium,Europe,2010,80.2,0.91,10.4,39800.0,75.3,20.5,High income,BEL,8.29
Belgium,Europe,2011,80.4,0.911,9.48,39900.0,75.5,21.1,High income,BEL,7.14
Belgium,Europe,2012,80.5,0.913,9.17,40000.0,77.1,20.8,High income,BEL,7.54
Belgium,Europe,2013,80.7,0.916,9.11,40000.0,76.9,19.5,High income,BEL,8.43
Belgium,Europe,2014,81.0,0.918,8.55,40400.0,77.4,19.4,High income,BEL,8.52
Belgium,Europe,2015,81.1,0.922,8.84,41000.0,77.4,18.6,High income,BEL,8.48
Belgium,Europe,2016,81.3,0.924,8.68,41300.0,77.5,19.3,High income,BEL,7.83
Belgium,Europe,2017,81.4,0.929,8.55,41800.0,78.1,18.9,High income,BEL,7.09
Belgium,Europe,2018,81.4,0.93,8.69,42400.0,77.9,18.7,High income,BEL,5.95
Bolivia,South America,2000,66.5,0.627,1.31,2060.0,42.4,6.9,Lower middle income,BOL,2.38
Bolivia,South America,2001,67.2,0.63,0.999,2050.0,40.1,6.6,Lower middle income,BOL,2.48
Bolivia,South America,2002,67.6,0.637,1.18,2070.0,39.9,6.6,Lower middle income,BOL,2.49
Bolivia,South America,2003,68.1,0.64,1.24,2080.0,44.4,6.4,Lower middle income,BOL,2.54
Bolivia,South America,2004,68.6,0.641,1.22,2130.0,44.4,6.3,Lower middle income,BOL,2.5
Bolivia,South America,2005,69.0,0.643,1.31,2190.0,42.0,6.3,Lower middle income,BOL,2.54
Bolivia,South America,2006,69.3,0.649,1.59,2250.0,43.0,5.9,Lower middle income,BOL,2.58
Bolivia,South America,2007,69.6,0.649,1.27,2310.0,44.2,6.1,Lower middle income,BOL,2.65
Bolivia,South America,2008,69.8,0.658,1.34,2410.0,48.7,6.0,Lower middle income,BOL,2.6
Bolivia,South America,2009,70.1,0.663,1.38,2450.0,49.2,6.0,Lower middle income,BOL,2.97
Bolivia,South America,2010,70.3,0.667,1.49,2510.0,49.3,6.0,Lower middle income,BOL,2.61
Bolivia,South America,2011,70.5,0.671,1.57,2600.0,49.3,6.1,Lower middle income,BOL,2.25
Bolivia,South America,2012,70.7,0.675,1.79,2690.0,51.6,6.0,Lower middle income,BOL,2.07
Bolivia,South America,2013,70.9,0.684,1.79,2830.0,50.9,6.0,Lower middle income,BOL,2.44
Bolivia,South America,2014,71.1,0.69,1.87,2940.0,48.5,6.2,Lower middle income,BOL,2.02
Bolivia,South America,2015,71.3,0.697,1.81,3040.0,49.6,6.4,Lower middle income,BOL,3.11
Bolivia,South America,2016,71.5,0.702,1.92,3120.0,49.5,6.6,Lower middle income,BOL,3.5
Bolivia,South America,2017,71.7,0.71,1.94,3200.0,49.5,6.4,Lower middle income,BOL,3.65
Bolivia,South America,2018,71.8,0.714,1.96,3290.0,49.5,6.3,Lower middle income,BOL,3.52
Bosnia and Herzegovina,Europe,2000,75.5,0.679,3.66,2660.0,45.0,9.0,Upper middle income,BIH,25.78
Bosnia and Herzegovina,Europe,2001,75.3,0.684,3.53,2780.0,45.9,9.4,Upper middle income,BIH,26.61
Bosnia and Herzegovina,Europe,2002,75.1,0.689,3.77,2920.0,46.7,9.8,Upper middle income,BIH,27.55
Bosnia and Herzegovina,Europe,2003,75.3,0.695,3.82,3040.0,47.4,9.9,Upper middle income,BIH,28.36
Bosnia and Herzegovina,Europe,2004,75.5,0.701,4.11,3220.0,47.9,10.0,Upper middle income,BIH,29.37
